ProductPage,Image,Brand,Title,ActivePrice,OriginalPrice
https://www.sotostore.com/en/product/17342/excelsior,https://www.sotostore.com/images/37902/medium.jpg,Axel Arigato,Excelsior,224.90 EUR,224.90 EUR
https://www.sotostore.com/en/product/17344/excelsior,https://www.sotostore.com/images/37899/medium.jpg,Axel Arigato,Excelsior,224.90 EUR,224.90 EUR
https://www.sotostore.com/en/product/17343/excelsior,https://www.sotostore.com/images/37898/medium.jpg,Axel Arigato,Excelsior,224.90 EUR,224.90 EUR
https://www.sotostore.com/en/product/17293/air-max-97,https://www.sotostore.com/images/37834/medium.jpg,Nike,Air Max 97,179 EUR,179 EUR
https://www.sotostore.com/en/product/16833/air-max-95,https://www.sotostore.com/images/34639/medium.jpg,Nike,Air Max 95,189 EUR,189 EUR
https://www.sotostore.com/en/product/17176/rise-react-flyknit,https://www.sotostore.com/images/36653/medium.jpg,Nike,Rise React Flyknit,175 EUR,175 EUR
https://www.sotostore.com/en/product/17298/react-element-55,https://www.sotostore.com/images/37435/medium.jpg,Nike,React Element 55,129 EUR,129 EUR
https://www.sotostore.com/en/product/17299/react-element-55,https://www.sotostore.com/images/37432/medium.jpg,Nike,React Element 55,129 EUR,129 EUR
https://www.sotostore.com/en/product/17258/yeezy-500,https://www.sotostore.com/images/37376/medium.jpg,adidas Originals,Yeezy 500,199 EUR,199 EUR
https://www.sotostore.com/en/product/17267/zoom-vomero-5-acw,https://www.sotostore.com/images/37403/medium.jpg,Nike Lab,Zoom Vomero 5 ACW,199 EUR,199 EUR
https://www.sotostore.com/en/product/17266/zoom-vomero-5-acw,https://www.sotostore.com/images/37414/medium.jpg,Nike Lab,Zoom Vomero 5 ACW,199 EUR,199 EUR
https://www.sotostore.com/en/product/17204/mountain-club-18-chuck-taylor-hi,https://www.sotostore.com/images/37326/medium.jpg,Converse,Mountain Club 18 Chuck Taylor Hi,139.90 EUR,139.90 EUR
https://www.sotostore.com/en/product/17202/mountain-club-18-ct-vintage-hi,https://www.sotostore.com/images/37317/medium.jpg,Converse,Mountain Club 18 CT Vintage Hi,139.90 EUR,139.90 EUR
https://www.sotostore.com/en/product/17203/mountain-club-18-one-star-ox,https://www.sotostore.com/images/37320/medium.jpg,Converse,Mountain Club 18 One Star Ox,119.90 EUR,119.90 EUR
https://www.sotostore.com/en/product/17205/mountain-club-18-one-star-ox,https://www.sotostore.com/images/37329/medium.jpg,Converse,Mountain Club 18 One Star Ox,119.90 EUR,119.90 EUR
https://www.sotostore.com/en/product/17257/air-force-1-07-qs,https://www.sotostore.com/images/37310/medium.jpg,Nike,Air Force 1 07 QS,130 EUR,130 EUR
https://www.sotostore.com/en/product/17210/x-adidas-originals-zx-500-rm-fl,https://www.sotostore.com/images/36913/medium.jpg,Hender Scheme,x adidas Originals ZX 500 RM FL,299 EUR,299 EUR
https://www.sotostore.com/en/product/17181/x-adidas-originals-zx-500-rm-mt,https://www.sotostore.com/images/36923/medium.jpg,Hender Scheme,x adidas Originals ZX 500 RM MT,219 EUR,219 EUR
https://www.sotostore.com/en/product/17211/x-adidas-originals-zx-500-rm-mt,https://www.sotostore.com/images/36904/medium.jpg,Hender Scheme,x adidas Originals ZX 500 RM MT,219 EUR,219 EUR
https://www.sotostore.com/en/product/17197/air-max-97-premium,https://www.sotostore.com/images/36967/medium.jpg,Nike,Air Max 97 Premium,179.90 EUR,179.90 EUR
https://www.sotostore.com/en/product/17230/air-max-97-bw,https://www.sotostore.com/images/37009/medium.jpg,Nike,Air Max 97/BW,179 EUR,179 EUR
https://www.sotostore.com/en/product/17231/air-max-97-bw,https://www.sotostore.com/images/37025/medium.jpg,Nike,Air Max 97/BW,179 EUR,179 EUR
https://www.sotostore.com/en/product/17232/air-max-97-bw,https://www.sotostore.com/images/37008/medium.jpg,Nike,Air Max 97/BW,179 EUR,179 EUR
https://www.sotostore.com/en/product/17196/air-vapormax-plus,https://www.sotostore.com/images/36971/medium.jpg,Nike,Air Vapormax Plus,210 EUR,210 EUR
